section,offence_name,minimum_indictable,maximum_indictable,minimum_sc,maximum_sc
cc46(1),high treason,255y,255y,,
cc46(2),treason,255y,255y,,
cc50(1)(a),assisting alien enemy to leave canada,,14y,,
cc50(1)(b),omitting to prevent treason,,14y,,
cc51,intimidating parliament or legislature,,14y,,
cc52,sabotage,,10y,,sc
cc52.1,sabotage — essential infrastructure,,10y,,sc
cc52.2,sabotage — device,,10y,,
cc53,inciting to mutiny,,14y,,
cc54,assisting deserter,,,,sc
cc56,offences in relation to members of rcmp,,,,sc
cc56.1,identity documents,,5y,,sc
cc57(1),forgery of or uttering forged passport,,14y,,
cc57(2),false statement in relation to passport,,2y,,sc
cc57(3),possession of forged passport,,5y,,sc
cc58,fraudulent use of certificate of citizenship,,2y,,sc
cc61,sedition,,14y,,
cc62,offences in relation to military forces,,5y,,sc
cc65(1),riot,,2y,,sc
cc65(2),riot — concealment of identity,,10y,,sc
cc66(1),unlawful assembly,,,,sc
cc66(2),unlawful assembly — concealment of identity,,5y,,sc
cc68,offences related to proclamation,,255y,,
cc69,neglect by peace officer,,2y,,sc
cc70,contravening an order in council,,5y,,sc
cc72(1),forcible entry,,2y,,sc
cc72(2),forcible detainer,,2y,,sc
cc74,piracy,,255y,,
cc75,piratical acts,,14y,,
cc76,hijacking,,255y,,
cc77,endangering safety of aircraft or airport,,255y,,
cc78,offensive weapons and explosive substances,,14y,,
cc78.1(1),seizing control of ship or fixed platform,,255y,,
cc78.1(2),endangering safety of ship or fixed platform,,255y,,
cc78.1(3),false communication,,255y,,
cc78.1(4),threats causing death or injury,,255y,,
cc80(a),breach of duty re explosive — causing death,,255y,,
cc80(b),breach of duty re explosive — causing bodily harm,,14y,,
cc81(1)(a),using explosives likely to cause serious harm,,255y,,
cc81(1)(b),handling explosives with harmful intent,,255y,,
cc81(1)(c),handling explosives with intent to damage property,,14y,,
cc81(1)(d),making or possessing explosives with harmful intent,,14y,,
cc82(1),possessing explosives,,5y,,sc
cc82(2),possessing explosives — criminal organization,,14y,,
cc82.3,possessing radioactive materials or devices,,255y,,
cc82.4,using radioactive materials or devices,,255y,,
cc82.5,commit indictable offence — radioactive materials,,255y,,
cc82.6,threatening to commit a radioactive materials offence,,14y,,
cc83,prize fighting,,,,sc
cc83.02,collecting property for terrorist activities,,10y,,
cc83.03(1),providing property or services for terrorist purposes,,10y,,
cc83.03(2),providing property or services for use by a terrorist group,,10y,,
cc83.04,using or possessing property for terrorist purposes,,10y,,
cc83.08,dealing with terrorist property,,10y,,729d&100000$
cc83.1,failure to disclose terrorist property,,10y,,729d&100000$
cc83.11,failure to audit for listed terrorist entities,,10y,,729d&100000$
cc83.18,participaty in terrorist group activity,,10y,,
cc83.181,leaving canada to participate in terrorist group activity,,10y,,
cc83.19,facilitating terrorist activity,,14y,,
cc83.191,leaving canada to facilitate terrorist activity,,14y,,
cc83.2,commit indictable offence — benefit terrorist group,,255y,,
cc83.201,leave canada to commit offence for terrorist group,,255y,,
cc83.202,leaving canada to commit offence that is terrorist activity,,14y,,
cc83.21,instructing to carry out activity for terrorist group,,255y,,
cc83.22,instructing to carry out terrorist activity,,255y,,
cc83.221,counselling commission of terrorism offence,,5y,,
cc83.23(1)(a),concealing person who carried out terrorist activity — commit offence punishable by 255y,,14y,,
cc83.23(1)(b),concealing person who carried out terrorist activity — other,,10y,,
cc83.23(2),concealing person who is likely to carry out terrorist activity,,10y,,
cc83.231(2),hoax — terrorist activity,,5y,,sc
cc83.231(3),hoax causing bodily harm — terrorist activity,,10y,,sc
cc83.231(4),hoax causing death — terrorist activity,,255y,,
cc83.27,terrorist activity,,255y,,
cc85(1),using firearm in commission of offence,,14y,,
cc85(2),using imitation firearm in commission of offence,,14y,,
cc86(1),careless use of firearm,,2y,,sc
cc86(2),contravention of storage regulations — firearm,,2y,,sc
cc87,pointing a firearm,,5y,,sc
cc88,possesion of weapon for dangerous purpose,,10y,,sc
cc89,carrying weapon while attending public meeting,,,,sc
cc90,carrying concealed weapon,,5y,,sc
cc91(1),unauthorized possession of firearm,,5y,,sc
cc91(2),unauthorized possession of prohibited weapon or restricted weapon,,5y,,sc
cc92(1),possession of firearm knowing its possession is unauthorized,,10y,,
cc92(2),possession of prohibited weapon device or ammunition knowing its possession is unauthorized,,10y,,
cc93,possession at unauthorized place,,5y,,sc
cc94,unauthorized possession in motor vehicle,,10y,,sc
cc95,possession of prohibited or restricted firearm with ammunition,,14y,,sc
cc96,possession of weapon obtained by commission of offence,,14y,,sc
cc98,breaking and entering to steal firearm,,255y,,
cc98.1,robbery to steal firearm,,255y,,
cc99(2)-1,weapons trafficking — firearm — first offence,3y,14y,,
cc99(2)-s,weapons trafficking — firearm — subsequent offence,5y,14y,,
cc99(3),weapons trafficking — other,,14y,,
cc100(2)-1,possession for purpose of weapons trafficking — firearm — first offence,3y,14y,,
cc100(2)-s,possession for purpose of weapons trafficking — firearm — subsequent offence,5y,14y,,
cc100(3),possession for purpose of weapons trafficking — other,,14y,,
cc101,transfer without authority,,5y,,sc
cc102,making automatic firearm,1y,10y,,sc
cc102.1,possession or distribution of computer data — firearm manufacture,,10y,,sc
cc103(2)-1,importing or exporting knowing it is unauthorized — firearm — first offence,3y,14y,,
cc103(2)-s,importing or exporting knowing it is unauthorized — firearm — subsequent offence,5y,14y,,
cc103(3),importing or exporting knowing it is unauthorized — other,,14y,,
cc104,importing or exporting knowing it is unauthorized — firearm,,5y,,sc
cc104.1,altering cartridge magazine,,5y,,sc
cc105,losing or finding — firearm,,5y,,sc
cc106,destroying — firearm,,5y,,sc
cc107,false statements — firearm,,5y,,sc
cc108,tampering with serial number,,5y,,sc
cc117.01,possession contrary to order,,10y,,sc
cc119,bribery of judicial officers,,14y,,
cc120,bribery of officers,,14y,,
cc121,frauds on the government,,5y,,sc
cc121.1,selling tobacco products and raw leaf tobacco,,5y,,sc
cc122,breach of trust by public officer,,5y,,sc
cc123,municipal corruption,,5y,,
cc123(1),municipal corruption,,,,sc
cc123(2),influencing municipal official,,5y,,sc
cc124,selling or purchasing office,,5y,,sc
cc125,influencing or negotiating appointments or dealing in offices,,5y,,sc
cc126,disobeying a statute,,2y,,sc
cc127,disobeying order of court,,2y,,sc
cc128,misconduct of officers executing process,,2y,,sc
cc129,offences relating to public or peace officer,,2y,,sc
cc130,personating peace officer,,5y,,sc
cc132,perjury,,14y,,
cc136,witness giving contradictory evidence,,14y,,
cc137,fabricating evidence,,14y,,
cc138,offences relating to affidavits,,14y,,
cc139(1),obstructing justice — surety indemnity,,2y,,sc
cc139(2),obstructing justice — other,,10y,,sc
cc140,public mischief,,5y,,sc
cc141,compounding indictable offence,,2y,,sc
cc142,corruptly taking reward for recovery of goods,,5y,,sc
cc144,prison breach,,10y,,sc
cc145(1),escape and being at large without excuse,,2y,,sc
cc145(2),failure to attend court or surrender,,2y,,sc
cc145(3),failure to comply with appearance notice or summons,,2y,,sc
cc145(4),failure to comply with undertaking,,2y,,sc
cc145(5),failure to comply with order,,2y,,sc
cc146,permitting or assisting escape,,14y,,sc
cc147,rescue or permitting escape,,5y,,sc
cc148,assisting prisoner of war to escape,,5y,,sc
cc151,sexual interference,1y,14y,90d,729d
cc152,invitation to sexual touching,1y,14y,90d,729d
cc153,sexual exploitation,1y,14y,90d,729d
cc153.1,sexual exploitation of person with disability,,10y,,sc
cc155-a,incest — under 16,5y,14y,,
cc155-b,incest — other,,14y,,
cc160(1),bestiality,,10y,,sc
cc160(2),compelling the commission of bestiality,,10y,,sc
cc160(3),bestiality in presence of or by child,1y,14y,6m,sc
cc161(4),failure to comply with 161 order,,4y,,sc
cc162(1),voyeurism,,5y,,sc
cc162(4),printing publication of voyeuristic recordings,,5y,,sc
cc162.1,publication of an intimate image without consent,,5y,,sc
cc162.2(4),failure to comply with prohibition order,,4y,,sc
cc163,obscene materials,,2y,,sc
cc163.1(2),making child pornography,1y,14y,,
cc163.1(3),distribution of child pornography,1y,14y,,
cc163.1(4),possession of child pornography,1y,10y,6m,729d
cc163.1(4.1),accessing child pornography,1y,10y,6m,729d
cc167,immoral theatrical performance,,2y,,sc
cc168,mailing obscene matter,,2y,,sc
cc170,parent or guardian procuring sexual activity,1y,14y,,
cc171,householder permitting sexual activity,1y,14y,,
cc171.1,making sexually explicit material available to child,6m,14y,90d,729d
cc172,corrupting children,,2y,,sc
cc172.1,luring a child,1y,14y,6m,729d
cc172.2,agreement or arrangement — sexual offence against child,1y,14y,6m,729d
cc173(1),indecent acts,,2y,,sc
cc173(2),exposure,90,2y,30,6m
cc174,nudity,,,,sc
cc175,cause disturbance,,,,sc
cc176,obstructing or violence to or arrest of officiating clergyman,,2y,,sc
cc177,trespassing at night,,,,sc
cc180,common nuisance,,2y,,sc
cc182,dead body,,5y,,sc
cc184,interception,,5y,,sc
cc184.5,interception of radio-based telephone,,5y,,sc
cc191,possession — private communication interception device,,2y,,sc
cc193,disclosure of information,,2y,,sc
cc193.1,disclosure of information received from interception of radio-based telephone communications,,2y,,sc
cc201(1),keeping gaming or betting house,,2y,,sc
cc201(2),person found in or owner permitting use,,,,sc
cc202-1,betting pool-selling book-making — first offence,,2y,,
cc202-2,betting pool-selling book-making — second offence,14d,2y,,
cc202-s,betting pool-selling book-making — subsequent offence,3m,2y,,
cc203-1,placing bets on behalf of others — first offence,,2y,,
cc203-2,placing bets on behalf of others — second offence,14d,2y,,
cc203-s,placing bets on behalf of others — subsequent offence,3m,2y,,
cc204,contravention — horse racing regulations,,2y,,sc
cc206(1),offence in relation to lotteries and games of chance,,2y,,
cc206(4),ticket sales in relation to lotteries and games of chance,,,,sc
cc207(3)(a),offence — permitted lotteries — unauthorized management or operation,,2y,,sc
cc207(3)(b),offence — permitted lotteries — unauthorized participation,,,,sc
cc207.1(3)(a),offence — lottery scheme on an international cruise ship — unauthorized management or operation,,2y,,sc
cc207.1(3)(b),offence — lottery scheme on an international cruise ship — unauthorized participation,,,,sc
cc209,cheating at play,,2y,,sc
cc213(1),stopping or impeding traffic — sexual services for consideration,,,,sc
cc213(1.1),communicating to provide sexual services for consideration,,,,sc
cc215,offence — duty of persons to provide necessaries,,5y,,sc
cc218,abandoning child,,5y,,sc
cc220(a),criminal negligence causing death — firearm,4y,255y,,
cc220(b),criminal negligence causing death — other,,255y,,
cc221,criminal negligence causing bodily harm,,10y,,sc
cc231(2),murder — first degree,255y,255y,,
cc231(7),murder — second degree,255y,255y,,
cc236(a),manslaughter — firearm,4y,255y,,
cc236(b),manslaughter,,255y,,
cc237,infanticide,,5y,,sc
cc238,killing unborn child in act of birth,,255y,,
cc239(1)(a)-1,attempt to commit murder — restricted or prohibited firearm — first offence,5y,255y,,
cc239(1)(a)-s,attempt to commit murder — restricted or prohibited firearm — subsequent offence,7y,255y,,
cc239(1)(a.1),attempt to commit murder — firearm,4y,255y,,
cc239(1)(b),attempt to commit murder,,255y,,
cc240,accessory after the fact to murder,,255y,,
cc240.1,removal without informed consent — trafficking in human organs,,14y,,
cc241,counselling or aiding suicide,,14y,,
cc241.3,failure to comply with safeguards — medical assistance in dying,,5y,,sc
cc241.31(4),failure to comply — filing information — medical assistance in dying,,2y,,sc
cc241.31(5),failure to comply — regulations — medical assistance in dying,,2y,,sc
cc241.4,forgery — medical assistance in dying,,5y,,sc
cc242,neglect to obtain assistance in childbirth,,5y,,sc
cc243,concealing body of child,,2y,,sc
cc244(2)(a)-1,discharging firearm with intent — restricted or prohibited firearm — first offence,5y,255y,,
cc244(2)(a)-s,discharging firearm with intent — restricted or prohibited firearm — subsequent offence,7y,255y,,
cc244(2)(b),discharging firearm with intent,,14y,,
cc244.1,causing bodily harm with intent — air gun or pistol,,14y,,
cc244.2(3)(a)-1,discharging firearm — recklessness — restricted or prohibited firearm — first offence,5y,14y,,
cc244.2(3)(a)-s,discharging firearm — recklessness — restricted or prohibited firearm — subsequent offence,7y,14y,,
cc244.2(3)(b),discharging firearm — recklessness,,14y,,
cc245(1)(a),administering noxious thing — intent to cause bodily harm or endanger 255y,,14y,,
cc245(1)(b),administering noxious thing — intent to aggrieve or annoy,,2y,,
cc246,overcoming resistance to commission of offence,,255y,,
cc247(1),traps likely to cause bodily harm,,5y,,sc
cc247(2),traps likely to cause bodily harm — causing bodily harm,,10y,,sc
cc247(3),traps likely to cause bodily harm — offence-related place,,10y,,sc
cc247(4),traps likely to cause bodily harm — offence-related place — causing bodily harm ,,14y,,
cc247(5),traps likely to cause bodily harm — death,,255y,,
cc248,interfering with transportation facility,,255y,,
cc262,impeding attempt to save life,,10y,,sc
cc263(3)(c),offences — duty to safeguard opening in ice or excavation on land,,,,sc
cc264,criminal harassment,,10y,,sc
cc264.1(a),uttering threats — death or bodily harm,,5y,,sc
cc264.1(b),uttering threats — damage property,,2y,,sc
cc264.1(c),uttering threats — kill animal,,2y,,sc
cc266,assault,,5y,,sc
cc267,assault with a weapon or causing bodily harm,,10y,,sc
cc268,aggravated assault,,14y,,
cc269,unlawfully causing bodily harm,,10y,,sc
cc269.1,torture,,14y,,
cc270,assaulting a peace officer,,5y,,sc
cc270.01,assaulting a peace officer with a weapon or causing bodily harm,,10y,,sc
cc270.02,aggravated assault of a peace officer,,14y,,
cc270.1,disarming a peace officer,,5y,,sc
cc271(a),sexual assault,,10y,,18m
cc271(b),sexual assault — complainant under 16,1y,14y,6m,729d
cc272(2)(a)-1,sexual assault with a weapon threats to a third party or causing bodily harm — restricted or prohibited firearm or criminal organization — first offence,5y,14y,,
cc272(2)(a)-s,sexual assault with a weapon threats to a third party or causing bodily harm — restricted or prohibited firearm or criminal organization — subsequent offence,7y,14y,,
cc272(2)(a.1),sexual assault with a weapon threats to a third party or causing bodily harm — firearm,4y,14y,,
cc272(2)(a.2),sexual assault with a weapon threats to a third party or causing bodily harm — complainant under 16,5y,14y,,
cc272(2)(b),sexual assault with a weapon threats to a third party or causing bodily harm,,14y,,
cc273(2)(a)-1,aggravated sexual assault — restricted or prohibited firearm or criminal organization — first offence,5y,255y,,
cc273(2)(a)-s,aggravated sexual assault — restricted or prohibited firearm or criminal organization — subsequent offence,7y,255y,,
cc273(2)(a.1),aggravated sexual assault — firearm,4y,255y,,
cc273(2)(a.2),aggravated sexual assault — complainant under 16,5y,255y,,
cc273(2)(b),aggravated sexual assault,,255y,,
cc273.3,removal of child from canada — sexual offences,,5y,,sc
cc279(1.1)(a)-1,kidnapping — restricted or prohibited firearm or criminal organization — first offence,5y,255y,,
cc279(1.1)(a)-s,kidnapping — restricted or prohibited firearm or criminal organization — subsequent offence,7y,255y,,
cc279(1.1)(a.1),kidnapping — firearm,4y,255y,,
cc279(1.1)(a.2),kidnapping — complainant under 16,5y,255y,,
cc279(1.1)(b),kidnapping,,255y,,
cc279(2),forcible confinement,,10y,,sc
cc279.01(1)(a),trafficking in persons — additional violent offence,5y,255y,,
cc279.01(1)(b),trafficking in persons,,14y,,
cc279.011(1)(a),trafficking of a person under the age of eighteen years — additional violent offence,6y,255y,,
cc279.011(1)(b),trafficking of a person under the age of eighteen years,5y,14y,,
cc279.02(1),material benefit — trafficking,,10y,,sc
cc279.02(2),material benefit — trafficking of person under 18 years,2y,14y,,
cc279.03(1),withholding or destroying documents — trafficking,,5y,,sc
cc279.03(2),withholding or destroying documents — trafficking of person under 18 years,1y,14y,,
cc279.1(2)(a)-1,hostage taking — restricted or prohibited firearm or criminal organization — first offence,5y,255y,,
cc279.1(2)(a)-s,hostage taking — restricted or prohibited firearm or criminal organization — subsequent offence,7y,255y,,
cc279.1(2)(a.1),hostage taking — firearm,4y,255y,,
cc279.1(2)(b),hostage taking,,255y,,
cc280,abduction of person under age of 16,,5y,,sc
cc281,abduction of person under age of 14,,10y,,sc
cc282,abduction in contravention of custody or parenting order,,10y,,sc
cc283,abduction,,10y,,sc
